C02-1122 ==> C04-1174:0.9666, H01-1043:0.9515, I08-2110:0.9413, W02-1608:0.9407, P09-2052:0.8824, I05-1005:0.8587, P06-2097:0.8408, N06-1023:0.8380, C04-1050:0.8120, P02-1028:0.7736
W08-1111 ==> N07-1022:0.8809, N12-1081:0.8513, W10-1617:0.8440, P12-2036:0.8327, W13-4005:0.8200, D09-1042:0.8194, P11-4011:0.8097, D13-1157:0.8068, P09-1110:0.7916, P14-1040:0.7870
W00-0801 ==> P02-1033:0.9639, P04-1037:0.8627, W04-0843:0.8386, W04-1609:0.8283, W03-1702:0.8167, P04-1039:0.8157, P02-1044:0.7948, W13-2319:0.7827, W02-0805:0.7805, W00-0802:0.7728
W09-0403 ==> W13-2253:0.9496, C14-1193:0.9432, W13-2202:0.9329, P11-2027:0.9246, W10-1744:0.9205, W14-3336:0.9186, W14-0314:0.9167, W10-3806:0.9164, W11-2110:0.9150, W10-1752:0.9134
W04-0215 ==> C04-1007:0.9738, C04-1048:0.9639, W04-2322:0.9575, W04-1009:0.9481, W04-0903:0.9169, W04-0211:0.9042, L08-1264:0.9041, W04-0906:0.8967, W03-0901:0.8930, P06-1050:0.8857
C04-1055 ==> W08-2227:0.9806, W05-1524:0.9594, W06-3502:0.9489, W05-1526:0.9468, W09-1506:0.9320, W07-1207:0.9183, W09-0507:0.9117, W05-1525:0.9107, P13-2131:0.8822, W06-2304:0.8667
W10-3505 ==> W13-2402:0.9365, W10-4119:0.9348, W12-0608:0.9309, C10-2036:0.9297, C10-1103:0.9293, S10-1100:0.9286, W12-0507:0.9285, L08-1617:0.9280, S14-2031:0.9276, S10-1099:0.9269
W03-1302 ==> C02-1097:0.9207, C02-1168:0.9082, W07-2070:0.9059, W04-2213:0.8995, W04-0806:0.8930, W04-0829:0.8892, I08-4006:0.8857, W04-0844:0.8855, W09-1510:0.8804, W02-2015:0.8802
P14-1093 ==> N06-1008:0.8395, S10-1048:0.8303, C08-1001:0.8255, P07-1057:0.8230, E03-1061:0.8204, W05-1207:0.8191, D09-1122:0.8167, D14-1161:0.8142, N06-1007:0.8139, D13-1065:0.8129
H01-1028 ==> W01-1607:0.9938, W06-2711:0.9839, W05-1624:0.9828, C02-1081:0.9804, E03-1072:0.9366, P06-1024:0.9224, L08-1494:0.9206, D07-1048:0.9090, P06-2085:0.9081, W07-1524:0.9056
W99-0625 ==> P99-1019:0.9546, W14-2510:0.9512, W11-0121:0.9443, L08-1362:0.9433, W01-0707:0.9423, W05-0110:0.9419, L08-1420:0.9418, W13-3405:0.9417, W99-0311:0.9415, W13-4035:0.9414
