C02-1122 ==> H01-1043:0.9572, C04-1174:0.9396, W02-1608:0.8742, I08-2110:0.8342, N06-1023:0.7811, P06-2076:0.7622, P09-2052:0.7531, I05-1005:0.7437, P06-2097:0.7207, C02-1051:0.7091
W08-1111 ==> W10-1617:0.9448, W08-0130:0.7854, P14-1052:0.7631, N07-1021:0.7495, D09-1042:0.7430, P11-2040:0.7348, W11-2010:0.7268, N07-1022:0.7250, P11-1111:0.7243, W08-1133:0.7237
W00-0801 ==> P02-1033:0.9637, P04-1037:0.7483, P04-1039:0.7175, W04-0843:0.7168, P02-1044:0.7136, W04-1609:0.7031, W02-0805:0.6788, H01-1033:0.6662, W00-0802:0.6633, P04-2005:0.6525
W09-0403 ==> W10-1752:0.9628, P11-2027:0.9257, W13-2254:0.8925, W08-0312:0.8854, W08-0324:0.8839, W14-0308:0.8795, P09-2034:0.8771, W09-0402:0.8605, E14-4018:0.8557, C10-2175:0.8539
W04-0215 ==> W04-1009:0.9660, W04-0211:0.9334, W04-2322:0.9266, C04-1007:0.9092, C04-1048:0.8558, N07-3006:0.8452, W04-0201:0.8320, W06-3003:0.8212, N03-2034:0.8008, W06-3001:0.7923
C04-1055 ==> W08-2227:0.9526, W05-1524:0.9500, W05-1525:0.9316, W09-0507:0.9250, W05-1526:0.9249, P13-2131:0.8794, W07-1207:0.8744, W09-1506:0.8721, W04-0214:0.8642, W12-2425:0.8611
W10-3505 ==> N09-1056:0.8768, C10-2153:0.8717, S10-1098:0.8522, P09-1029:0.8481, W10-4119:0.8397, W06-0607:0.8337, C10-3005:0.8271, L08-1617:0.8198, P07-2023:0.8149, P09-1078:0.8128
W03-1302 ==> C02-1097:0.9940, I08-4006:0.9329, I05-3012:0.9294, P06-4010:0.8794, W04-0847:0.8760, W05-0401:0.8667, W03-1708:0.8479, C02-1143:0.8456, W02-0813:0.8380, W07-2065:0.8252
P14-1093 ==> P13-1170:0.8691, C14-1135:0.8013, D12-1034:0.7905, D12-1057:0.7803, D13-1065:0.7703, P13-1159:0.7418, C08-1120:0.7235, W11-0123:0.7111, P08-1047:0.7060, D11-1076:0.7039
H01-1028 ==> W01-1607:0.9954, C02-1081:0.9716, W06-2711:0.9600, W05-1624:0.9599, E03-1072:0.9083, P06-2085:0.8979, P06-1024:0.8970, L08-1494:0.8883, W00-0304:0.8821, W07-1524:0.8792
W99-0625 ==> P99-1019:0.9947, W99-0213:0.7957, E12-1057:0.7821, W11-2028:0.7799, P09-4011:0.7724, W99-0108:0.7716, W99-0107:0.7665, W99-0109:0.7645, C00-1055:0.7640, W09-3918:0.7630
